40,The Building Center Inc,(803) 939-9290,"West Columbia, SC 29170",205 Wattling Rd,General ContractorsWood ProductsBuilding Materials,none,none
41,Love Plumbing Air & Electrical,(803) 719-5330,"West Columbia, SC 29170",1336 Methodist Park Rd,General ContractorsAir Conditioning Contractors & SystemsAltering & Remodeling Contractors,(20),BBB Rating: A+
42,White Crane Company,(803) 794-7194,"West Columbia, SC 29170",3414 Augusta Rd,General ContractorsContractors Equipment RentalContractors Equipment & Supplies,(1),BBB Rating: A+
43,Plumbing Solutions,(803) 513-5749,"West Columbia, SC 29169",40 C Trotter Rd Ste B,General ContractorsPlumbersBuilding Contractors-Commercial & Industrial,none,none
44,JC Electrical Service,(803) 782-0124,"Columbia, SC 29223",1749 Springfield Ave,General ContractorsElectriciansElectric Equipment Repair & Service,none,none
45,Ducksback Inc,(803) 790-5514,"Columbia, SC 29209",none,General ContractorsPaving ContractorsParking Lot Maintenance & Marking,none,none
46,Advanced Vinyl Siding & Remodeling,(803) 422-2528,none,none,General ContractorsHome Repair & MaintenanceBuilding Contractors,none,none
47,D & D Construction,(803) 348-3974,none,none,General ContractorsConstruction Site-Clean-UpAltering & Remodeling Contractors,none,none
48,Fulton Town Construction,(803) 938-3261,none,none,General ContractorsBuilding ContractorsElectricians,none,none
49,Dragon Vapor Barriers,(803) 629-8964,"Lexington, SC 29072",300 Tisbury Ct,General ContractorsInsulation ContractorsBuilding Contractors,(1),none
50,Cjs Contracting Inc,(803) 359-0450,"Lexington, SC 29072",16 Branch Cir,General ContractorsAltering & Remodeling ContractorsRoofing Services Consultants,none,none
51,The Wright Group,(803) 233-3373,"Lexington, SC 29073",331 Cedar Rd,General ContractorsAltering & Remodeling ContractorsKitchen Planning & Remodeling Service,none,none
52,Master Blasters,(803) 358-9718,"Lexington, SC 29073",5154 Backman Ave,General ContractorsHome BuildersAir Conditioning Contractors & Systems,none,none
53,Young's Contracting & Development,(803) 996-2999,"Lexington, SC 29072",224 W Butler St,General Contractors,none,none
54,Kehoe Constructors,(803) 951-0494,"Lexington, SC 29072",203 W Main St Ste B,General ContractorsAltering & Remodeling ContractorsHome Builders,none,none
55,North Lake Construction,(803) 359-9050,"Lexington, SC 29072",5102 Augusta Rd,General ContractorsBuilding ContractorsAltering & Remodeling Contractors,none,none
56,All State Exterminating Co,(803) 794-7083,"Lexington, SC 29073",301 Oak Dr,General ContractorsAltering & Remodeling ContractorsBuilding Construction Consultants,none,none
57,Howell Builders,(803) 739-1133,"Lexington, SC 29072",190 Rich Lex Dr,General ContractorsAltering & Remodeling ContractorsBuilding Construction Consultants,none,none
58,Associate Builders,(803) 531-5963,"Lexington, SC 29072",116 Belfry Dr,General ContractorsAltering & Remodeling ContractorsBuilding Construction Consultants,none,none
59,Mc Guinn Construction Mgmt Inc,(803) 356-1840,"Lexington, SC 29072",150 Whiteford Way,General ContractorsAltering & Remodeling ContractorsBuilding Construction Consultants,none,none
60,Bailey Construction,(803) 356-3708,"Lexington, SC 29072",5222 Sunset Blvd,General ContractorsConstruction ManagementHome Builders,none,none
61,Attaway Construction,(803) 808-2265,"Lexington, SC 29072",330 Ball Park Rd,General ContractorsHome BuildersBuilding Contractors-Commercial & Industrial,none,none
62,Key Stone Constructors,(803) 951-0321,"Lexington, SC 29072",2420 Two Notch Rd,General ContractorsHome BuildersBuilding Contractors-Commercial & Industrial,none,none
63,Porter Reggie Construction Co,(803) 359-1926,"Lexington, SC 29072",315 W Main St,General ContractorsAltering & Remodeling ContractorsBuilding Construction Consultants,none,none
64,FBI Construction,(803) 520-8127,"Lexington, SC 29072",334 Old Chapin Rd,General ContractorsAltering & Remodeling ContractorsBuilding Construction Consultants,none,none
65,North American Dismantling & Demolition,none,none,none,General ContractorsEnvironmental & Ecological ConsultantsGrading Contractors,none,none
66,Company Wrench Sc,(803) 520-0032,"Lexington, SC 29072",141 Brickyard Rd,General ContractorsAltering & Remodeling ContractorsBuilding Construction Consultants,none,none
67,South Wind,(803) 996-9000,"Lexington, SC 29072",1318 Hendrix Landing Rd,General ContractorsAltering & Remodeling ContractorsBuilding Contractors,none,none
68,Pizzuti Builders Inc,(803) 957-5522,"Lexington, SC 29072",203 W Main St Ste G12,General ContractorsBuilding Contractors-Commercial & IndustrialReal Estate Developers,none,none
69,Handyman Services,(803) 520-8230,"Lexington, SC 29073",543 Saddlehorn Ln,General ContractorsDeck BuildersDoor Repair,none,none
70,"Sunset Construction Co., Inc.",(803) 359-1179,"Lexington, SC 29073",189 Litton Dr,General ContractorsBuilding Contractors,none,none
71,A B S Inc,(803) 996-1372,"Lexington, SC 29073",152 Woodcraft Dr,General ContractorsBuilding Contractors,none,none
72,Palmetto Bay Builders,(803) 957-6066,"Lexington, SC 29072",305 Hedgerow Ct,General ContractorsReal Estate DevelopersBuilding Contractors,none,none
73,Marsh R J Inc,(803) 996-5700,"Lexington, SC 29072",648 Highway 378,General ContractorsBuilding Contractors,none,none
74,Torbett Construction,(803) 996-6145,"Lexington, SC 29072",123 Mallory Dr,General ContractorsBuilding Construction ConsultantsConstruction Management,none,none
75,South Eastern Construction Of The Midlands,(803) 764-4501,"Lexington, SC 29073",2680 S Lake Dr,General ContractorsBuilding Construction ConsultantsBuilding Specialties,none,none
76,M & W Construction Inc,(803) 359-4279,"Lexington, SC 29071",Po Box 807,General Contractors,none,none
77,Connelly Builders Inc,(803) 798-0572,"Lexington, SC 29072",125 Old Chapin Rd,General ContractorsReal Estate Developers,none,none
78,Built Wright Construction Co,(803) 951-7380,"Lexington, SC 29072",133 Vera Rd,General Contractors,none,none
79,Eco Strategic Sourcing INC,(803) 808-0107,"Lexington, SC 29072",101 Vera Rd,General ContractorsLandscape ContractorsBuilding Specialties,none,none
80,Kg Workforce Solutions,(803) 470-2006,"Lexington, SC 29072",334 Old Chapin Rd,General ContractorsBuilding Specialties,none,none
81,K W Environmental,(803) 312-4906,"Lexington, SC 29072",104 Berrywood Ct,General ContractorsBuilding Specialties,none,none
82,Kehoe Constructors,(803) 951-0494,"Lexington, SC 29072",211 Isobel Ct,General Contractors,none,none
83,Resource Development Associates Inc,(803) 356-6211,"Lexington, SC 29072",205 Caughman Farm Ln,General ContractorsBuilding Specialties,none,none
84,Construction Inc,(803) 996-1372,"Lexington, SC 29073",152 Woodcraft Dr,General Contractors,none,none
85,Palmetto Ehs,(803) 462-4404,"Lexington, SC 29072",204 Settlers Ct,General ContractorsBuilding Specialties,none,none
86,M B Kahn Construction,(803) 356-1002,"Lexington, SC 29072",1205 Old Cherokee Rd,General ContractorsReal Estate Developers,none,none
87,Wall Systems Inc,(803) 808-6909,"Lexington, SC 29073",1223 S Lake Dr Ste D,General Contractors,none,none
88,Southern Commercial Development,(803) 808-0232,"Lexington, SC 29073",1326 S Lake Dr,General Contractors,none,none
89,Adams Equipment Co Inc,(803) 358-0221,"Lexington, SC 29073",2931 Mineral Springs Rd,General ContractorsBuilding SpecialtiesPlumbers,none,none
90,P & S Construction,(803) 359-9334,"Lexington, SC 29072",2111 Two Notch Rd,General ContractorsSewer ContractorsUtility Contractors,none,none
91,Bizpropos Systems,(803) 361-0562,"Lexington, SC 29073",109 Melwood Ct,General ContractorsBuilding Specialties,none,none
92,Hall Technology Inc,(803) 808-2963,"Lexington, SC 29072",239 Charter Oak Rd,General Contractors,none,none
93,Timmons Contracting Inc,(803) 957-7226,"Lexington, SC 29073",626 Oak Dr,General Contractors,none,none
94,C A Builders Inc,(803) 996-0588,"Lexington, SC 29072",243 Beechwoods Dr,General ContractorsReal Estate Developers,none,none
95,Barger Contracting,(803) 622-0317,"Lexington, SC 29073",6370 Platt Springs Rd,General Contractors,none,none
96,North American Dismantling & Demolition,none,none,none,General ContractorsEnvironmental & Ecological ConsultantsGrading Contractors,none,none
97,Bishop K,(803) 755-1419,"Lexington, SC 29073",223 Falcon Dr,General ContractorsConcrete ContractorsFoundation Contractors,none,none
98,C Sculptures,(803) 926-1621,"Lexington, SC 29073",none,General ContractorsBuilding ContractorsFlooring Contractors,none,none
99,Murphy Contracting Inc,(803) 957-4541,"Lexington, SC 29072",111 Reed Ave,General ContractorsBuilding ContractorsMetal Buildings,none,none
100,Paul Davis Restoration & Remodeling,(803) 796-4343,"Lexington, SC 29072",none,General ContractorsFire & Water Damage RestorationAltering & Remodeling Contractors,none,none
101,Carpets R Us,(803) 798-9987,"Lexington, SC 29072",none,General ContractorsCarpet & Rug CleanersFire & Water Damage Restoration,(6),BBB Rating: A+
102,Plumbkrazy Plumbing Service,(803) 356-6813,"Lexington, SC 29072",221 Swartz Rd,General ContractorsPlumbersAltering & Remodeling Contractors,(1),none
103,The Improvement Co,(803) 951-0409,"Lexington, SC 29073",109 Oakwood Dr,General ContractorsBathroom RemodelingCarpenters,(2),BBB Rating: A+
104,S & T Grading & Excavating Inc,(803) 951-3744,"Lexington, SC 29073",1848 Old Orangeburg Rd,General ContractorsGrading ContractorsLandscape Contractors,(2),none
105,Gene Love Contracting,(803) 808-7813,"Lexington, SC 29072",169 Highway 378,General ContractorsPlumbersPlumbing-Drain & Sewer Cleaning,(2),none
106,M A Rozbitsky Construction Co,(803) 796-8960,"Lexington, SC 29072",141 Riverchase Way,General ContractorsBuilding ContractorsRoofing Contractors,none,none
107,All Pro Improvements Inc,(803) 808-2808,"Lexington, SC 29072",311 Harmon St,General ContractorsBathroom RemodelingHome Improvements,none,none
108,PHT Inspections,(803) 600-2588,"Lexington, SC 29072",238 Catawba Trl,General ContractorsReal Estate Inspection ServiceInspection Service,none,none
109,"Rion Property Solutions, LLC",(864) 663-2588,"Lexington, SC 29072",114 Water Crest Dr,General ContractorsAltering & Remodeling ContractorsHome Improvements,none,none
110,Cayce Co,(803) 808-3724,"Lexington, SC 29073",307 Dooley Rd,General ContractorsElectriciansAltering & Remodeling Contractors,none,none
111,All-State Construction 1,(803) 359-2364,"Lexington, SC 29073",301 Oak Dr,General ContractorsRoofing ContractorsHome Improvements,none,none
112,Crystaline Products,(803) 957-0929,"Lexington, SC 29072",258 Bruner Rd,General ContractorsBathroom RemodelingAltering & Remodeling Contractors,none,none
113,Sands Enterprises,(803) 520-6154,"Lexington, SC 29072",458 Old Cherokee Rd,General ContractorsRoofing Contractors,none,none
114,Oakwood Homes,(803) 808-6335,"Lexington, SC 29072",5017 Sunset Blvd,General ContractorsMobile Home DealersHome Builders,none,none
115,C&S Siding and Windows,(803) 708-0661,"Lexington, SC 29072",S Lake Dr,General ContractorsPatio Covers & EnclosuresDeck Builders,none,none
116,Pennyworth Homes,(803) 356-1204,"Lexington, SC 29072",711 E Main St Ste A2,General ContractorsBuilding Designers,none,none
117,Nuway Enterprises,(803) 951-0633,"Lexington, SC 29072",148 Dahlia St,General ContractorsHeating Contractors & SpecialtiesGeothermal Heating & Cooling Contractors,none,none
118,Home Services at The Home Depot,(803) 306-6186,"Lexington, SC 29072",5600 Sunset Blvd,General ContractorsHome Improvements,none,none
119,Grow Electric Inc,(803) 951-2099,"Lexington, SC 29072",160 Whiteford Way,General ContractorsElectriciansElectric Contractors-Commercial & Industrial,none,none
120,Dr Rooter,(803) 398-2090,"Lexington, SC 29073",1840 Two Notch Rd,General ContractorsPlumbersExcavation Contractors,none,none
121,Gregory Landscape Services,(803) 356-5959,"Lexington, SC 29073",155 Sease Hill Rd,General ContractorsLandscape ContractorsLandscape Designers & Consultants,none,none
122,Handi-Houses of Oakgrove,(803) 957-3801,"Lexington, SC 29073",4508 Augusta Rd,General ContractorsBuildings-PortableCarports,none,none
123,AAA Well Drilling,(803) 755-1203,"Lexington, SC 29073",3071 Highway 6,General ContractorsWater Well Drilling & Pump ContractorsOil Field Service,none,none
124,Pizzuti Builders Inc,(803) 957-5522,"Lexington, SC 29072",1901 Augusta Hwy,General ContractorsHome BuildersAltering & Remodeling Contractors,none,none
125,Design & Remodeling Solutions,(803) 318-6773,"Lexington, SC 29072",100 Old Cherokee Rd,General ContractorsKitchen Planning & Remodeling ServiceAltering & Remodeling Contractors,none,none
126,"Lucas Builders, Inc.",(803) 951-2378,"Lexington, SC 29072",128 John Preston Dr,General ContractorsBuilding ContractorsAltering & Remodeling Contractors,none,none
127,North American Dismantling & Demolition,none,none,none,General ContractorsEnvironmental & Ecological ConsultantsGrading Contractors,none,none
128,Owens Fisher Construction Co Inc,(803) 951-3927,"Lexington, SC 29073",303 Mclee Road,General ContractorsGrading ContractorsExcavation Contractors,none,none
129,China Construction,(803) 996-2904,"Lexington, SC 29072",320 Corley St,General ContractorsHome BuildersBuilding Contractors-Commercial & Industrial,none,none
130,Clarkson Industrial Contractors,(803) 520-9555,"Lexington, SC 29072",2044 Industrial Blvd,General ContractorsBuilding Contractors-Commercial & IndustrialHome Builders,none,none
131,Esslinger Roofing Services Inc,(803) 359-5857,"Lexington, SC 29072",441 Wildlife Rd,General ContractorsRoofing ContractorsRoofing Services Consultants,none,none
132,Hightower Construction,(803) 359-0932,"Lexington, SC 29073",265 Dooley Rd,General ContractorsHome BuildersBuilding Contractors-Commercial & Industrial,none,none
133,Aos Specialty Contractors,(803) 798-6831,"Lexington, SC 29073",575 Two Notch Rd,General ContractorsBuilding Contractors-Commercial & IndustrialConcrete Contractors,none,none
134,M.B. Kahn Construction Co,(803) 957-9583,"Lexington, SC 29072",944 Pisgah Church Rd,General ContractorsHome BuildersBuilding Contractors-Commercial & Industrial,none,none
135,Carolina Gold Constructions,(803) 951-0803,"Lexington, SC 29072",322 Welsummer Way,General ContractorsHome BuildersBuilding Contractors-Commercial & Industrial,none,none
136,Hunter Walter L Construction Co Inc,(803) 796-7544,"Lexington, SC 29073",118 Draftswoods Rd,General ContractorsHome BuildersGrading Contractors,none,none
137,Vantage Builders Inc,(803) 957-2545,"Lexington, SC 29072",570 Rose Sharon Dr,General ContractorsHome BuildersReal Estate Developers,none,none
138,Ideal Home Improvements,(803) 957-7165,"Lexington, SC 29073",732 Two Notch Rd Lot 7,General ContractorsHome ImprovementsAltering & Remodeling Contractors,none,none
139,Bob's Plumbing Service,(803) 359-9401,"Lexington, SC 29073",3315 Emanuel Church Rd,General ContractorsPlumbersAltering & Remodeling Contractors,none,none
140,Carolina Refacers,(803) 359-2296,"Lexington, SC 29073",402 Two Notch Rd,"General ContractorsKitchen Cabinets-Refinishing, Refacing & ResurfacingCabinets",none,none
141,Southland Home Repairs,(803) 356-0112,"Lexington, SC 29073",120 Barrister Ct,General ContractorsBuilding ContractorsTile-Contractors & Dealers,none,none
142,Ircs,(803) 917-6860,"Lexington, SC 29073",312 Steeple Ct,General ContractorsHome ImprovementsAltering & Remodeling Contractors,none,none
143,Turner Building Systems,(803) 808-7076,"Lexington, SC 29073",353 Mac Cir,General ContractorsMetal BuildingsBuildings-Pole & Post Frame,none,none
144,Hendrix Builders,(803) 359-2600,"Lexington, SC 29073",268 Ashton Cir,General ContractorsHome BuildersReal Estate Developers,none,none
145,Essex Homes Southeast Inc,(803) 356-8301,"Lexington, SC 29073",120 Cromer Rd,General ContractorsHome BuildersReal Estate Developers,none,none
146,Apex Construction Inc.,(803) 960-9561,"Lexington, SC 29073",5928 Platt Springs Rd,General ContractorsHome BuildersBuilding Contractors,none,none
147,K & J Improvements,(803) 361-3974,"Lexington, SC 29073",258 Arrie Ln,General ContractorsHome ImprovementsAltering & Remodeling Contractors,none,none
148,Belec Painting & Remodeling,(803) 447-2629,"Lexington, SC 29073",543 Saddlehorn Ln,General ContractorsPainting ContractorsAltering & Remodeling Contractors,none,none
149,Cedar Creek Homes,(803) 358-0109,"Lexington, SC 29072",309 N Lake Dr,General ContractorsHome BuildersReal Estate Developers,none,none
150,Remodeling Masters Men,(803) 358-9364,"Lexington, SC 29072",108 Railroad Ave,General ContractorsAltering & Remodeling ContractorsHome Improvements,none,none
151,First Class Construction,(803) 926-1922,"Lexington, SC 29072",133 Vera Rd,General ContractorsHome Builders,none,none
152,G & G Framing & Dry Wall,(803) 356-2610,"Lexington, SC 29072",437 Burton Rd,General ContractorsRoofing Services ConsultantsRoofing Contractors,none,none
153,Ryan Homes,(803) 490-1712,"Lexington, SC 29072",104 Dove Chase Trl,General ContractorsHome Builders,none,none
154,Ryan Homes,(803) 808-9387,"Lexington, SC 29072",107 Luna Trl,General ContractorsHome Builders,none,none
155,Ryan Homes,(803) 399-1621,"Lexington, SC 29072",104 Luna Trl,General ContractorsHome Builders,none,none
156,Ryan Homes,(803) 808-1201,"Lexington, SC 29072",100 Herrick Ct,General ContractorsHome Builders,none,none
157,Amj Roofing Inc,(803) 808-8311,"Lexington, SC 29073",4458 Augusta Rd Ste 3b,General ContractorsRoofing ContractorsBuilding Specialties,none,none
158,North American Dismantling & Demolition,none,none,none,General ContractorsEnvironmental & Ecological ConsultantsGrading Contractors,none,none
159,Dillon Supply Company,(803) 779-0640,"West Columbia, SC 29170",320 Orchard Dr,General ContractorsSteel Distributors & WarehousesMetal-Wholesale & Manufacturers,none,none
160,Nation Custom Builders,(803) 807-8140,"West Columbia, SC 29170",4115 Edmund Hwy,General ContractorsBathroom RemodelingAltering & Remodeling Contractors,none,none
161,Grier Roofing,(803) 606-8543,"Columbia, SC 29210",434 Jamil Rd,General ContractorsRoofing ContractorsRoofing Services Consultants,none,none
162,Sealmaster,(803) 939-9100,"West Columbia, SC 29169",3203 Leaphart Rd,General ContractorsAsphalt Paving & SealcoatingPaving Equipment,none,none
163,Penhall Company,(803) 250-2424,"West Columbia, SC 29172",210 Bray Park Rd,General ContractorsDemolition ContractorsConcrete Contractors,none,none
164,USA Insulation of Columbia,(803) 888-7000,"Columbia, SC 29201",2121 Wayne St,General ContractorsInsulation ContractorsBuilding Contractors,none,none
165,Blue Collar Experts,(803) 465-5916,"Irmo, SC 29063",109 Coopers Hawk Cir,General ContractorsGrading ContractorsBuilding Contractors,none,none
166,Dennis Corporation,(803) 252-0991,"Columbia, SC 29201",1800 Huger St,General ContractorsCivil EngineersConsulting Engineers,none,none
167,Custom Creations,(803) 464-4558,none,none,General ContractorsAltering & Remodeling ContractorsFloor Materials,none,none
168,Renovations Cortes,(614) 301-0515,none,none,General ContractorsBathroom RemodelingAltering & Remodeling Contractors,none,none
169,Sona Building Services,(803) 724-2400,none,none,General ContractorsReal Estate Inspection ServiceAltering & Remodeling Contractors,none,none
170,N-Hance Wood Refinishing of Columbia SC,(803) 667-8321,none,none,General ContractorsFlooring ContractorsKitchen Planning & Remodeling Service,none,none
171,Mr. Fix It All,(404) 343-8422,none,none,"General ContractorsCeilings-Supplies, Repair & InstallationDrywall Contractors",none,none
172,Cjs Contracting Inc,(803) 359-0450,"Lexington, SC 29072",16 Branch Cir,General ContractorsAltering & Remodeling ContractorsRoofing Services Consultants,none,none
173,The Wright Group,(803) 233-3373,"Lexington, SC 29073",331 Cedar Rd,General ContractorsAltering & Remodeling ContractorsKitchen Planning & Remodeling Service,none,none
174,"Rion Property Solutions, LLC",(864) 663-2588,"Lexington, SC 29072",114 Water Crest Dr,General ContractorsAltering & Remodeling ContractorsHome Improvements,none,none
175,Sands Enterprises,(803) 520-6154,"Lexington, SC 29072",458 Old Cherokee Rd,General ContractorsRoofing Contractors,none,none
176,Oakwood Homes,(803) 808-6335,"Lexington, SC 29072",5017 Sunset Blvd,General ContractorsMobile Home DealersHome Builders,none,none
177,Gregory Landscape Services,(803) 356-5959,"Lexington, SC 29073",155 Sease Hill Rd,General ContractorsLandscape ContractorsLandscape Designers & Consultants,none,none
178,"SK Crouch Construction Services, LLC.",(803) 422-7984,"Lexington, SC 29072",none,General ContractorsConcrete Contractors,none,none
179,Miller-Valentine Group,(803) 798-3800,"Columbia, SC 29201",823 Gervais St Ste 200,General ContractorsReal Estate DevelopersPlumbers,none,none
180,The Lane Construction Corporatio N,(803) 791-5724,"West Columbia, SC 29172",3176 Charleston Hwy,General ContractorsGrading ContractorsAltering & Remodeling Contractors,none,none
181,Great Southern Homes,(803) 331-8505,"Irmo, SC 29063",105 Cedar Chase Ln,General ContractorsReal Estate DevelopersHome Builders,none,none
182,A Team Home Improvements LLP,(803) 370-4959,"Columbia, SC 29205",326 S Bull St,General ContractorsAltering & Remodeling Contractors,none,none
183,Acercamiento Hispano De,(803) 419-5112,"Columbia, SC 29203",827 Wildwood Ave,General ContractorsBuilding Specialties,none,none
184,"Palmetto Renovations of Columbia, INC",(803) 667-5433,"Columbia, SC 29205",1112 Harden St,General Contractors,none,none
185,G&W Fencing,(803) 381-7218,none,none,General ContractorsBuilding Contractors,none,none
186,Burton Professional Coatings,(803) 348-8377,none,none,General ContractorsHome ImprovementsPainting Contractors,none,none
187,Gillespy Tile,(803) 413-7231,"West Columbia, SC 29169",125 Springfield Dr,General ContractorsTile-Contractors & DealersHome Centers,(1),none
188,Dick Wohlers Homes Inc,(803) 381-0124,"Chapin, SC 29036",140 Rum Gully Ln,General ContractorsHome BuildersAltering & Remodeling Contractors,(1),none
189,North American Dismantling & Demolition,none,none,none,General ContractorsEnvironmental & Ecological ConsultantsGrading Contractors,none,none
190,"SK Crouch Construction Services, LLC.",(803) 422-7984,"Lexington, SC 29072",none,General ContractorsConcrete Contractors,none,none
191,Holzheimer Construction Inc,(803) 892-6846,"Lexington, SC 29071",none,General ContractorsBuilding ContractorsBuilding Construction Consultants,none,none
192,Bright Star Home Improvements,(803) 609-0416,"Lexington, SC 29073",6601 Platt Springs Rd,General ContractorsKitchen Planning & Remodeling ServiceAltering & Remodeling Contractors,none,none
193,Burkwood Construction Inc,(803) 799-5898,"Columbia, SC 29201",1240 Bluff Rd,General ContractorsConcrete ContractorsBuilding Contractors,none,none
194,Sloan Construction,(803) 376-1240,"Columbia, SC 29201",645 Rosewood Dr,General ContractorsPaving ContractorsHome Builders,none,none
195,Mashburn Construction Co Inc,(803) 256-6080,"Columbia, SC 29201",1820 Sumter St,General ContractorsHome BuildersAltering & Remodeling Contractors,none,none
196,Hood Construction Co Inc,(803) 765-2940,"Columbia, SC 29201",1050 Shop Rd,General ContractorsHome BuildersBuilding Contractors-Commercial & Industrial,none,none
197,Mccrory Construction Company,(803) 799-8100,"Columbia, SC 29201",1280 Assembly St,General ContractorsBuilding ContractorsHome Builders,none,none
